service_id,exception_type,date
1,2,20250418
1,2,20250419
1,2,20250420
1,2,20250421
10,1,20250416
10,1,20250417
10,1,20250502
10,1,20250503
10,1,20250504
10,1,20250505
10,1,20250506
100,1,20250419
1000,1,20250418
1000,1,20250419
1000,1,20250421
1000,1,20250501
1001,1,20250505
1001,1,20250512
1001,2,20250419
1001,2,20250420
1001,2,20250429
1001,2,20250430
1001,2,20250501
1001,2,20250502
1002,1,20250417
1002,1,20250419
1002,1,20250422
1002,1,20250423
1002,1,20250508
1002,2,20250506
1002,2,20250509
1004,1,20250413
1004,1,20250503
1004,1,20250504
1006,1,20250426
1006,1,20250427
1006,1,20250428
1008,1,20250414
1010,1,20250510
1010,1,20250511
1011,2,20250417
1011,2,20250418
1011,2,20250419
1014,1,20250502
1014,2,20250417
1014,2,20250430
1014,2,20250503
1015,2,20250504
1017,1,20250418
1019,1,20250502
1019,1,20250513
102,2,20250418
102,2,20250421
102,2,20250501
1020,1,20250430
1020,1,20250512
1020,1,20250513
1023,1,20250509
1023,1,20250512
1025,1,20250413
1025,1,20250504
1027,1,20250421
1029,1,20250508
1030,1,20250420
1030,1,20250505
1030,1,20250506
1030,1,20250507
1030,1,20250508
1030,1,20250509
1032,1,20250418
1032,1,20250501
1032,2,20250428
1034,2,20250418
1034,2,20250421
1034,2,20250501
1035,1,20250424
1035,1,20250508
1035,2,20250419
1035,2,20250425
1035,2,20250428
1035,2,20250504
1036,1,20250418
1036,2,20250427
1037,2,20250418
1037,2,20250420
1038,1,20250417
1039,1,20250414
1039,1,20250415
1039,1,20250416
1039,1,20250502
104,1,20250418
104,1,20250421
104,1,20250501
104,1,20250511
104,1,20250512
1040,2,20250419
1040,2,20250421
1041,1,20250421
1041,1,20250501
1042,1,20250418
1042,1,20250421
1042,2,20250426
1045,1,20250426
1045,1,20250427
1045,1,20250510
1045,1,20250511
1050,1,20250418
1051,1,20250427
1051,1,20250501
1051,2,20250428
1052,1,20250414
1052,1,20250415
1052,1,20250417
1054,1,20250428
1054,2,20250503
1055,1,20250503
1055,1,20250513
1056,1,20250421
1056,1,20250501
1058,1,20250508
1059,1,20250512
1059,1,20250513
1059,2,20250418
1059,2,20250421
1059,2,20250501
106,1,20250414
106,1,20250422
1060,2,20250417
1060,2,20250418
1060,2,20250419
1061,2,20250510
1063,1,20250502
1065,1,20250417
1065,1,20250430
1066,1,20250502
1066,1,20250509
1066,1,20250511
1066,2,20250421
1070,2,20250428
1070,2,20250429
1070,2,20250430
1070,2,20250501
1070,2,20250502
1070,2,20250503
1071,2,20250418
1073,1,20250508
1074,1,20250504
1075,1,20250508
1075,1,20250509
1081,1,20250504
1081,1,20250508
1082,1,20250425
1083,1,20250503
1084,1,20250424
1084,1,20250504
1084,1,20250505
1084,1,20250513
1085,1,20250503
1086,1,20250419
1086,1,20250420
1086,1,20250428
1086,1,20250430
1087,1,20250413
1088,1,20250501
1094,2,20250419
1094,2,20250420
1095,1,20250428
1097,1,20250508
1098,1,20250502
1098,1,20250503
1098,1,20250504
1098,1,20250505
1098,1,20250511
1098,1,20250512
1098,1,20250513
11,1,20250426
11,1,20250428
110,1,20250426
110,1,20250427
110,1,20250503
110,1,20250504
110,1,20250505
110,1,20250506
110,1,20250507
110,1,20250508
1100,2,20250508
1100,2,20250509
1100,2,20250510
1101,1,20250414
1101,1,20250415
1101,1,20250416
1101,1,20250507
1103,1,20250430
1103,2,20250505
1103,2,20250506
1107,1,20250422
1108,1,20250512
1108,1,20250513
1109,1,20250426
1109,1,20250427
1109,2,20250418
1109,2,20250421
1111,1,20250416
1118,2,20250419
1118,2,20250420
1118,2,20250421
1118,2,20250509
1123,1,20250511
1123,1,20250512
1123,1,20250513
1124,1,20250419
1124,2,20250427
1127,1,20250503
1127,1,20250510
1128,1,20250417
1128,1,20250425
1128,1,20250430
1129,1,20250425
1130,1,20250505
1130,1,20250512
1130,2,20250419
1130,2,20250420
1131,1,20250417
1131,1,20250503
1132,1,20250512
1132,1,20250513
1133,1,20250414
1135,1,20250414
1135,1,20250422
1136,1,20250510
1136,2,20250418
1136,2,20250421
1139,1,20250426
1139,1,20250427
1139,1,20250428
114,1,20250413
114,1,20250418
114,1,20250419
114,1,20250509
114,1,20250510
114,1,20250511
1141,1,20250414
1141,1,20250415
1141,1,20250416
1143,1,20250413
1143,1,20250420
1143,1,20250509
1144,1,20250417
1144,1,20250423
1144,1,20250505
1144,1,20250507
1146,1,20250418
1146,1,20250421
1146,1,20250512
1146,1,20250513
1148,1,20250508
115,1,20250421
115,1,20250501
1153,1,20250424
1153,1,20250508
1153,2,20250421
1153,2,20250430
1154,1,20250414
1154,1,20250416
1154,1,20250425
1154,1,20250512
1154,1,20250513
1155,1,20250414
1155,1,20250428
1155,2,20250418
1155,2,20250501
1157,1,20250420
1158,1,20250414
1158,1,20250416
1158,1,20250512
1158,1,20250513
116,1,20250501
1161,2,20250505
1162,1,20250512
1162,1,20250513
1163,1,20250508
1165,1,20250511
1165,1,20250513
1167,1,20250416
1169,1,20250420
1169,1,20250421
1169,1,20250503
1170,1,20250414
1170,1,20250415
1170,1,20250416
1170,1,20250417
1170,1,20250418
1170,1,20250503
1170,1,20250504
1171,1,20250511
1171,2,20250417
1171,2,20250418
1171,2,20250421
1174,1,20250414
1178,1,20250511
1178,1,20250512
1178,1,20250513
1181,1,20250426
1181,1,20250501
1181,1,20250509
1183,1,20250505
1184,1,20250508
1185,1,20250414
1185,1,20250415
1185,1,20250416
1185,1,20250417
1185,1,20250502
1185,1,20250503
1185,1,20250504
1186,2,20250505
1186,2,20250512
1187,1,20250506
1188,2,20250419
1188,2,20250421
1189,1,20250430
1190,1,20250414
1190,1,20250424
1194,1,20250418
1194,1,20250421
1194,2,20250420
1195,1,20250426
1195,1,20250427
1197,1,20250414
1197,1,20250424
1197,1,20250425
12,2,20250501
120,1,20250510
120,1,20250511
120,1,20250512
