stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
's-Hertogenbosch,,653426,51.69054,5.293723,1
's-Hertogenbosch,653426,440518,51.69054,5.293723,
Aachen Hbf,544624,525449,50.7678,6.091499,
Aachen Süd(Gr),,253956,50.731915,6.04541,1
Aachen Süd(Gr),253956,588301,50.731915,6.04541,
"Aachen, Hauptbahnhof",,544624,50.767723,6.092051,1
Aalen Hauptbahnhof,,583764,48.841602,10.096031,1
Aalen Hbf,583764,387574,48.84168,10.09613,
Altena(Westf),109837,195720,51.302013,7.668693,
Altena(Westf),109837,486560,51.301956,7.668576,
"Altena, Bahnhof",,109837,51.301983,7.66881,1
Altenbeken,,334111,51.766434,8.943322,1
Altenbeken,334111,638818,51.766296,8.94298,
Amersfoort Centraal,,565995,52.153465,5.373909,1
Amersfoort Centraal,565995,428834,52.153465,5.373909,
Amsterdam Centraal,,396652,52.37919,4.899431,1
Amsterdam Centraal,396652,351939,52.37919,4.899431,
Amstetten NÖ,,351096,48.121605,14.878112,1
Amstetten NÖ,351096,178903,48.121605,14.878112,
Andernach,409800,615782,50.434544,7.404839,
Andernach Bahnhof,,409800,50.434544,7.40484,1
Ansbach,,534487,49.29803,10.578246,1
Ansbach Ansbach Bahnhof Steig 2,534487,568988,49.29889,10.577582,
Ansbach Bahnhof,534487,294857,49.299145,10.578166,
Ansbach Bahnhof,534487,449488,49.299004,10.578067,
Ansbach Bahnhof,534487,59962,49.299046,10.578031,
Apeldoorn,,142187,52.20943,5.968491,1
Apeldoorn,142187,236683,52.20943,5.968491,
Arnhem Centraal,,471497,51.98478,5.901003,1
Arnhem Centraal,471497,641343,51.98478,5.901003,
Aschaffenburg Hbf,,488811,49.980556,9.1437,1
Aschaffenburg Hbf,488811,281876,49.98065,9.14343,
Aschaffenburg Hbf,488811,355339,49.980797,9.14343,
Aschaffenburg Hbf,488811,5335,49.980556,9.143697,
Attnang-Puchheim,,604270,48.012802,13.720719,1
Attnang-Puchheim,604270,138851,48.012802,13.720719,
Augsburg Hbf,,84022,48.36544,10.885569,1
Augsburg Hbf,84022,180980,48.365532,10.885533,
Augsburg Hbf,84022,225449,48.3656,10.885713,
Augsburg Hbf,84022,316498,48.365673,10.885892,
Augsburg Hbf,84022,354441,48.365437,10.885291,
Augsburg Hbf,84022,50807,48.36544,10.88557,
Augsburg Hbf,84022,518288,48.36546,10.885353,
Augustfehn,,146725,53.220894,7.759622,1
Augustfehn,146725,18959,53.220844,7.75963,
Bad Bentheim,90214,237398,52.309853,7.157776,
Bad Bentheim,90214,28898,52.30978,7.157785,
Bad Bentheim Bahnhof,,90214,52.30953,7.158737,1
Bad Bentheim(Gr),,387065,52.3091,7.04016,1
Bad Bentheim(Gr),387065,62380,52.3091,7.04016,
Bad Bevensen,,521548,53.078247,10.574141,1
Bad Bevensen,521548,393299,53.07822,10.574081,
Bad Endorf,,129051,47.904766,12.302122,1
Bad Endorf,129051,454376,47.90459,12.302679,
"Bad Endorf, Bahnhof",129051,183640,47.904682,12.302545,
Bad Hersfeld,,321929,50.869766,9.716581,1
Bad Hersfeld,321929,214857,50.869766,9.716581,
Bad Kleinen,535549,23848,53.766945,11.466213,
Bad Kleinen,535549,320625,53.766644,11.466456,
Bad Kleinen Bhf,,535549,53.76746,11.466429,1
Bad Nauheim,238948,515428,50.367695,8.749241,
Bad Nauheim Bahnhof,,238948,50.367798,8.748327,1
Bad Oeynhausen,669410,309404,52.205257,8.795962,
Bad Oeynhausen,669410,446993,52.205322,8.795944,
"Bad Oeynhausen, Bf/ZOB",,669410,52.2054,8.796519,1
Bad Schandau,312408,333860,50.919315,14.137713,
Bad Schandau,312408,634796,50.91921,14.137704,
Bad Schandau Nationalparkbahnhof,,312408,50.91927,14.138099,1
Bad Zwischenahn,,272321,53.182568,8.002996,1
Bad Zwischenahn,272321,331343,53.18242,8.003398,
Baden(CH),,640668,47.476425,8.307709,1
Baden(CH),640668,213016,47.476425,8.307709,
Baden-Baden,,10130,48.7902,8.191036,1
Baden-Baden,10130,318737,48.7903,8.190803,
Baden-Baden,10130,359070,48.790478,8.190417,
Baden-Baden,10130,432834,48.79032,8.190731,
"Bahnhof, Engen",128278,676639,47.85621,8.772516,
"Bahnhof, Friedberg (Hessen)",235573,451305,50.33204,8.760561,
Bamberg,,589854,49.90076,10.899484,1
Bamberg,589854,145265,49.900597,10.899735,
Bamberg,589854,176821,49.900574,10.900122,
Bamberg,589854,275581,49.900547,10.899879,
Basel Bad Bf,,50285,47.567287,7.607805,1
Basel Bad Bf,50285,98285,47.567287,7.607805,
Basel SBB,,527709,47.547405,7.589551,1
Basel SBB,527709,669522,47.547405,7.589551,
Bebra,,453104,50.969566,9.797788,1
Bebra,453104,116332,50.969566,9.797788,
Bensheim,99103,136014,49.681423,8.616721,
Bensheim,99103,555002,49.681328,8.616717,
Bensheim,99103,89912,49.68174,8.616901,
"Bensheim, Bahnhof",,99103,49.681805,8.616955,1
Bergen Bahnhof,,288582,54.420822,13.418737,1
Bergen auf Rügen,288582,276616,54.420414,13.417534,
Bergen auf Rügen,288582,561121,54.42034,13.417668,
Berlin Gesundbrunnen,71608,240706,52.548485,13.390691,
Berlin Gesundbrunnen,71608,275958,52.548386,13.390704,
Berlin Gesundbrunnen,71608,351014,52.548573,13.390519,
Berlin Gesundbrunnen,71608,477479,52.548885,13.39039,
Berlin Gesundbrunnen,71608,487890,52.548794,13.3904,
Berlin Gesundbrunnen,71608,552053,52.54869,13.390501,
Berlin Hbf,527635,172100,52.524967,13.369527,
Berlin Hbf,527635,256103,52.524998,13.369061,
Berlin Hbf,527635,308666,52.525097,13.369321,
Berlin Hbf,527635,331255,52.52496,13.368911,
Berlin Hbf,527635,333352,52.52519,13.369752,
Berlin Hbf,527635,382712,52.525223,13.369887,
Berlin Hbf,527635,474583,52.52488,13.369627,
Berlin Hbf,527635,481894,52.525143,13.369612,
Berlin Hbf,527635,496195,52.52506,13.369167,
Berlin Hbf,527635,554412,52.52511,13.369472,
Berlin Hbf,527635,600291,52.524788,13.369667,
Berlin Ostbahnhof,120889,178623,52.510414,13.435172,
Berlin Ostbahnhof,120889,261777,52.510475,13.43524,
Berlin Ostbahnhof,120889,619626,52.510254,13.435024,
Berlin Ostbahnhof,120889,661239,52.510178,13.434942,
Berlin Ostbahnhof,120889,81246,52.510242,13.434586,
Berlin Ostkreuz,127767,326623,52.502907,13.468553,
Berlin Ostkreuz,127767,355962,52.503067,13.469961,
Berlin Ostkreuz,127767,440451,52.50304,13.468615,
Berlin Ostkreuz,127767,562008,52.503128,13.469622,
Berlin Südkreuz,156352,173208,52.475433,13.365603,
Berlin Südkreuz,156352,210162,52.475887,13.365455,
Berlin Südkreuz,156352,275769,52.47565,13.365612,
Berlin Südkreuz,156352,528394,52.475407,13.365754,
Berlin Südkreuz,156352,637356,52.475685,13.365454,
Berlin Südkreuz,156352,675274,52.475925,13.365291,
Berlin Zoologischer Garten,370785,109676,52.507717,13.332555,
Berlin Zoologischer Garten,370785,352261,52.50762,13.332927,
Berlin Zoologischer Garten,370785,419577,52.507652,13.332804,
Berlin Zoologischer Garten,370785,639865,52.50768,13.332686,
Berlin-Charlottenburg,557609,561971,52.504173,13.301819,
Berlin-Lichtenberg,160706,43667,52.510124,13.496304,
Berlin-Lichtenberg,160706,674317,52.510002,13.49649,
Berlin-Spandau,482360,265752,52.534485,13.1971,
Berlin-Spandau,482360,426474,52.534668,13.197191,
Berlin-Spandau,482360,513785,52.5346,13.197163,
Berlin-Spandau,482360,53140,52.534542,13.197124,
Berlin-Wannsee,14762,162373,52.42135,13.180446,
Berlin-Wannsee,14762,394091,52.421402,13.180358,
Bern,,608155,46.948833,7.439131,1
Bern,608155,120054,46.948833,7.439131,
Biberach ZOB/Bahnhof,,474247,48.101456,9.792795,1
Biberach(Riß),474247,440073,48.101936,9.792939,
Biberach(Riß),474247,643736,48.101994,9.793155,
Bielefeld Hbf,,440649,52.029263,8.53272,1
Bielefeld Hbf,440649,104573,52.029522,8.533106,
Bielefeld Hbf,440649,651102,52.02962,8.532917,
Bingen(Rhein) Hbf,584893,423981,49.969147,7.882717,
"Bingen, Hauptbahnhof",,584893,49.96874,7.883543,1
Binz (Ostseebad),,408427,54.404823,13.600502,1
Bischofshofen,,514272,47.41786,13.219888,1
Bischofshofen,514272,497794,47.41786,13.219888,
